TenantId,"TimeGenerated [UTC]",ResourceId,Category,ResourceGroup,SubscriptionId,ResourceProvider,Resource,ResourceType,OperationName,ResultType,CorrelationId,ResultDescription,"Tenant_g","JobId_g","RunbookName_s","StreamType_s","Caller_s","requestUri_s",Level,DurationMs,CallerIPAddress,OperationVersion,ResultSignature,"id_s","status_s","LogicalServerName_s",Message,"clientInfo_s","httpStatusCode_d","identity_claim_appid_g","identity_claim_http_schemas_microsoft_com_identity_claims_objectidentifier_g","userAgent_s","ruleName_s","identity_claim_http_schemas_xmlsoap_org_ws_2005_05_identity_claims_upn_s","systemId_g","isAccessPolicyMatch_b","EventName_s","httpMethod_s","subnetId_s","type_s","instanceId_s","macAddress_s","vnetResourceGuid_g","direction_s","subnetPrefix_s","primaryIPv4Address_s","conditions_sourcePortRange_s","priority_d","conditions_destinationPortRange_s","conditions_destinationIP_s","conditions_None_s","conditions_sourceIP_s","httpVersion_s","matchedConnections_d","startTime_t [UTC]","endTime_t [UTC]","DatabaseName_s","clientIP_s","host_s","requestQuery_s","sslEnabled_s","clientPort_d","httpStatus_d","receivedBytes_d","sentBytes_d","timeTaken_d","resultDescription_ErrorJobs_s","resultDescription_ChildJobs_s","identity_claim_http_schemas_microsoft_com_identity_claims_scope_s","workflowId_s","resource_location_s","resource_workflowId_g","resource_resourceGroupName_s","resource_subscriptionId_g","resource_runId_s","resource_workflowName_s","_schema_s","correlation_clientTrackingId_s","properties_sku_Family_s","properties_sku_Name_s","properties_tenantId_g","properties_enabledForDeployment_b","code_s","resultDescription_Summary_MachineId_s","resultDescription_Summary_ScheduleName_s","resultDescription_Summary_Status_s","resultDescription_Summary_StatusDescription_s","resultDescription_Summary_MachineName_s","resultDescription_Summary_TotalUpdatesInstalled_d","resultDescription_Summary_RebootRequired_b","resultDescription_Summary_TotalUpdatesFailed_d","resultDescription_Summary_InstallPercentage_d","resultDescription_Summary_StartDateTimeUtc_t [UTC]","resource_triggerName_s","resultDescription_Summary_InitialRequiredUpdatesCount_d","properties_enabledForTemplateDeployment_b","resultDescription_Summary_EndDateTimeUtc_s","resultDescription_Summary_DurationInMinutes_s","resource_originRunId_s","properties_enabledForDiskEncryption_b","resource_actionName_s","correlation_actionTrackingId_g","resultDescription_Summary_EndDateTimeUtc_t [UTC]","resultDescription_Summary_DurationInMinutes_d","conditions_protocols_s","identity_claim_ipaddr_s","ElasticPoolName_s","identity_claim_http_schemas_microsoft_com_claims_authnmethodsreferences_s","RunOn_s","query_hash_s",SourceSystem,MG,ManagementGroupName,Computer,RawData,"clientIp_s","ruleSetType_s","ruleSetVersion_s","ruleId_s","ruleGroup_s","action_s","details_message_s","details_data_s","details_file_s","details_line_s","hostname_s","policyId_s","policyScope_s","policyScopeName_s","engine_s","timeStamp_t [UTC]","listenerName_s","backendPoolName_s","backendSettingName_s","originalRequestUriWithArgs_s","contentType_s","error_info_s","connectionSerialNumber_d","noOfConnectionRequests_d","clientResponseTime_d","WAFEvaluationTime_s","WAFMode_s","WAFPolicyID_s","transactionId_g","sslCipher_s","sslProtocol_s","sslClientVerify_s","sslClientCertificateFingerprint_s","sslClientCertificateIssuerName_s","serverRouted_s","serverStatus_s","serverResponseLatency_s","serverConnectTime_s","serverHeaderTime_s","upstreamSourcePort_s","originalHost_s","backendSslProtocol_s","backendSslCipher_s",AdditionalFields,Type,"_ResourceId"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,," 'General purpose HTTP clients and SDKs'",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_BotManagerRuleSet","1.1",300300,UnknownBots,Matched,,"{curl found within [REQUEST_HEADERS:User-Agent:curl/8.18.0]}",,,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,,"4/11/2026, 6:19:54.000 AM",,,,,,,,,,,,,"b23191da-ab14-9fde-ac00-fcc1faaec80f",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,," 'Other bots'",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_BotManagerRuleSet","1.1",300700,UnknownBots,Matched,,"{ found within [REQUEST_HEADERS:]}",,,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,,"4/11/2026, 6:19:54.000 AM",,,,,,,,,,,,,"b23191da-ab14-9fde-ac00-fcc1faaec80f",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,,"Host header is a numeric IP address",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_DefaultRuleSet","2.2",920350,"PROTOCOL-ENFORCEMENT",Matched,"Pattern match ^[\d.:]+$ at REQUEST_HEADERS:host.","{57.155.134.164 found within [REQUEST_HEADERS:Host:57.155.134.164]}","PROTOCOL-ENFORCEMENT.conf",657,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,Azwaf,"4/11/2026, 6:19:54.000 AM",,,,,,,,,,,,,"b23191da-ab14-9fde-ac00-fcc1faaec80f",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,,"SQL Injection Attack Detected via libinjection",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_DefaultRuleSet","2.2",942100,SQLI,Matched,"Detect Sql Injection  at ARGS.","{s&sos found within [ARGS:search:admin' OR '1'='1]}","SQLI.conf",46,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,Azwaf,"4/11/2026, 6:19:54.000 AM",,,,,,,,,,,,,"b23191da-ab14-9fde-ac00-fcc1faaec80f",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,,"Inbound Anomaly Score Exceeded (Total Score: 8)",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_DefaultRuleSet","2.2",949110,"BLOCKING-EVALUATION",Blocked,"Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.",,"BLOCKING-EVALUATION.conf",57,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,Azwaf,"4/11/2026, 6:19:54.000 AM",,,,,,,,,,,,,"b23191da-ab14-9fde-ac00-fcc1faaec80f",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,," 'General purpose HTTP clients and SDKs'",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_BotManagerRuleSet","1.1",300300,UnknownBots,Matched,,"{curl found within [REQUEST_HEADERS:User-Agent:curl/8.18.0]}",,,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,,"4/11/2026, 6:19:55.000 AM",,,,,,,,,,,,,"d612b5c5-094c-08d3-5df0-ee37b32c69a3",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,," 'Other bots'",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_BotManagerRuleSet","1.1",300700,UnknownBots,Matched,,"{ found within [REQUEST_HEADERS:]}",,,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,,"4/11/2026, 6:19:55.000 AM",,,,,,,,,,,,,"d612b5c5-094c-08d3-5df0-ee37b32c69a3",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,,"Host header is a numeric IP address",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_DefaultRuleSet","2.2",920350,"PROTOCOL-ENFORCEMENT",Matched,"Pattern match ^[\d.:]+$ at REQUEST_HEADERS:host.","{57.155.134.164 found within [REQUEST_HEADERS:Host:57.155.134.164]}","PROTOCOL-ENFORCEMENT.conf",657,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,Azwaf,"4/11/2026, 6:19:55.000 AM",,,,,,,,,,,,,"d612b5c5-094c-08d3-5df0-ee37b32c69a3",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,,"SQL Injection Attack Detected via libinjection",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_DefaultRuleSet","2.2",942100,SQLI,Matched,"Detect Sql Injection  at ARGS.","{s&sos found within [ARGS:search:admin' OR '1'='1]}","SQLI.conf",46,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,Azwaf,"4/11/2026, 6:19:55.000 AM",,,,,,,,,,,,,"d612b5c5-094c-08d3-5df0-ee37b32c69a3",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,,"Inbound Anomaly Score Exceeded (Total Score: 8)",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_DefaultRuleSet","2.2",949110,"BLOCKING-EVALUATION",Blocked,"Greater and Equal to Tx:inbound_anomaly_score_threshold at TX:anomaly_score.",,"BLOCKING-EVALUATION.conf",57,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,Azwaf,"4/11/2026, 6:19:55.000 AM",,,,,,,,,,,,,"d612b5c5-094c-08d3-5df0-ee37b32c69a3",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,," 'General purpose HTTP clients and SDKs'",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_BotManagerRuleSet","1.1",300300,UnknownBots,Matched,,"{curl found within [REQUEST_HEADERS:User-Agent:curl/8.18.0]}",,,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,,"4/11/2026, 6:19:57.000 AM",,,,,,,,,,,,,"d9d216a0-d984-36b5-2e5f-6a7af3f4e3b8",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,," 'Other bots'",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_BotManagerRuleSet","1.1",300700,UnknownBots,Matched,,"{ found within [REQUEST_HEADERS:]}",,,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,,"4/11/2026, 6:19:57.000 AM",,,,,,,,,,,,,"d9d216a0-d984-36b5-2e5f-6a7af3f4e3b8",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,,"Host header is a numeric IP address",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_DefaultRuleSet","2.2",920350,"PROTOCOL-ENFORCEMENT",Matched,"Pattern match ^[\d.:]+$ at REQUEST_HEADERS:host.","{57.155.134.164 found within [REQUEST_HEADERS:Host:57.155.134.164]}","PROTOCOL-ENFORCEMENT.conf",657,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,Azwaf,"4/11/2026, 6:19:57.000 AM",,,,,,,,,,,,,"d9d216a0-d984-36b5-2e5f-6a7af3f4e3b8",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
"c02d4e2d-ffd7-45f7-b10e-e10b6613ab8b","4/11/2026, 6:20:37.837 AM","/SUBSCRIPTIONS/10F5F67D-3C4A-495E-998A-868E1D51DDC1/RESOURCEGROUPS/RG-DEVOPS-SECOPS-DEMO/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/APPGW-SECOPS",ApplicationGatewayFirewallLog,"RG-DEVOPS-SECOPS-DEMO","10f5f67d-3c4a-495e-998a-868e1d51ddc1","MICROSOFT.NETWORK","APPGW-SECOPS",APPLICATIONGATEWAYS,ApplicationGatewayFirewall,,,,,,,,,"/?search=admin'%20OR%20'1'='1",,,,,,,,,"SQL Injection Attack Detected via libinjection",,,,,,,,,,,,,,"appgw_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azure,,,,,"14.169.3.144","Microsoft_DefaultRuleSet","2.2",942100,SQLI,Matched,"Detect Sql Injection  at ARGS.","{s&sos found within [ARGS:search:admin' OR '1'='1]}","SQLI.conf",46,"57.155.134.164","3#_subscriptions_10f5f67d-3c4a-495e-998a-868e1d51ddc1_resourceGroups_rg-devops-secops-demo_providers_Microsoft.Network_ApplicationGatewayWebApplicationFirewallPolicies_WAF-secops",Global,Global,Azwaf,"4/11/2026, 6:19:57.000 AM",,,,,,,,,,,,,"d9d216a0-d984-36b5-2e5f-6a7af3f4e3b8",,,,,,,,,,,,,,,,AzureDiagnostics,"/subscriptions/10f5f67d-3c4a-495e-998a-868e1d51ddc1/resourcegroups/rg-devops-secops-demo/providers/microsoft.network/applicationgateways/appgw-secops"
